Matt,Bryant,K,11.06
Justin,Tucker,K,10.81
Josh,Brown,K,9.2
Adam,Vinatieri,K,9.19
Caleb,Sturgis,K,9.13
Dustin,Hopkins,K,9.06
Wil,Lutz,K,8.94
Matt,Prater,K,8.88
Kai,Forbath,K,8.86
Sebastian,Janikowski,K,8.69
Dan,Bailey,K,8.63
Nick,Novak,K,8.63
Steven,Hauschka,K,8.44
Stephen,Gostkowski,K,8.44
Graham,Gano,K,8.38
Cairo,Santos,K,8.25
Jason,Myers,K,8.19
Brandon,McManus,K,8.16
Mason,Crosby,K,7.75
Josh,Lambo,K,7.63
Ryan,Succop,K,7.44
Mike,Nugent,K,7.15
Chris,Boswell,K,7.13
Chandler,Catanzaro,K,7
Randy,Bullock,K,6.8
Nick,Folk,K,6.75
Dan,Carpenter,K,6.13
Cody,Parkey,K,6
Blair,Walsh,K,5.89
Phil,Dawson,K,5.88
Roberto,Aguayo,K,5.75
Robbie,Gould,K,5.4
Greg,Zuerlein,K,5.38
Andrew,Franks,K,5.38
Connor,Barth,K,5.31
Patrick,Murray,K,3
Aaron,Rodgers,QB,23.63
Matt,Ryan,QB,21.59
Tom,Brady,QB,21.38
Drew,Brees,QB,20.77
Andrew,Luck,QB,20.25
Kirk,Cousins,QB,18.77
Dak,Prescott,QB,17.93
Tyrod,Taylor,QB,17.93
Ben,Roethlisberger,QB,17.58
Matthew,Stafford,QB,17.36
Marcus,Mariota,QB,17.33
Derek,Carr,QB,17.23
Cam,Newton,QB,16.82
Blake,Bortles,QB,16.76
Colin,Kaepernick,QB,16.7
Russell,Wilson,QB,16.63
Andy,Dalton,QB,16.29
Philip,Rivers,QB,16.18
Carson,Palmer,QB,16.07
Jameis,Winston,QB,15.63
Sam,Bradford,QB,14.73
Joe,Flacco,QB,14.66
Alex,Smith,QB,14.65
Ryan,Tannehill,QB,14.48
Eli,Manning,QB,14.01
Matt,Moore,QB,13.69
Trevor,Siemian,QB,13.55
Robert,Griffin,QB,13.29
Brian,Hoyer,QB,13.27
Carson,Wentz,QB,13.19
Blaine,Gabbert,QB,12.12
Brock,Osweiler,QB,11.2
Case,Keenum,QB,11.11
Matt,Barkley,QB,10.12
Josh,McCown,QB,10.02
Ryan,Fitzpatrick,QB,9.53
Paxton,Lynch,QB,9.46
Jacoby,Brissett,QB,9.43
Charlie,Whitehurst,QB,9.38
Jay,Cutler,QB,9.35
Nick,Foles,QB,9.33
Cody,Kessler,QB,8.33
Jared,Goff,QB,7.59
Connor,Cook,QB,6
Tom,Savage,QB,5.88
Jimmy,Garoppolo,QB,5.83
Bryce,Petty,QB,5.38
Tony,Romo,QB,5.16
Landry,Jones,QB,4.24
Kevin,Hogan,QB,4.17
Geno,Smith,QB,3.97
