Aaron,Rodgers,QB,23.63
Matt,Ryan,QB,21.59
Tom,Brady,QB,21.38
Drew,Brees,QB,20.77
David,Johnson,RB,20.49
Andrew,Luck,QB,20.25
Le'Veon,Bell,RB,20.2
Ezekiel,Elliott,RB,19.56
Kirk,Cousins,QB,18.77
Dak,Prescott,QB,17.93
Tyrod,Taylor,QB,17.93
Ben,Roethlisberger,QB,17.58
Matthew,Stafford,QB,17.36
Marcus,Mariota,QB,17.33
Derek,Carr,QB,17.23
Cam,Newton,QB,16.82
Blake,Bortles,QB,16.76
Colin,Kaepernick,QB,16.7
Russell,Wilson,QB,16.63
LeSean,McCoy,RB,16.55
Andy,Dalton,QB,16.29
Philip,Rivers,QB,16.18
Melvin,Gordon,RB,16.12
Carson,Palmer,QB,16.07
Jameis,Winston,QB,15.63
DeMarco,Murray,RB,15.05
Sam,Bradford,QB,14.73
Joe,Flacco,QB,14.66
Alex,Smith,QB,14.65
Ryan,Tannehill,QB,14.48
Devonta,Freeman,RB,14.38
LeGarrette,Blount,RB,14.12
Eli,Manning,QB,14.01
Matt,Moore,QB,13.69
Trevor,Siemian,QB,13.55
Antonio,Brown,WR,13.42
Jordan,Howard,RB,13.41
Robert,Griffin ,QB,13.29
Brian,Hoyer,QB,13.27
Carson,Wentz,QB,13.19
Mike,Evans,WR,13.01
Jordy,Nelson,WR,12.98
Carlos,Hyde,RB,12.7
Julio,Jones,WR,12.64
Jay,Ajayi,RB,12.55
Latavius,Murray,RB,12.51
C.J.,Anderson,RB,12.36
Odell,Beckham ,WR,12.35
Tevin,Coleman,RB,12.32
Mark,Ingram,RB,12.26
Blaine,Gabbert,QB,12.12
A.J.,Green,WR,12.04
Spencer,Ware,RB,11.49
Lamar,Miller,RB,11.44
T.Y.,Hilton,WR,11.43
Brock,Osweiler,QB,11.2
Case,Keenum,QB,11.11
Matt,Bryant,K,11.06
Luke,Kuechly,LB,11.05
Frank,Gore,RB,11.01
Matt,Forte,RB,10.97
Michael,Thomas,WR,10.91
Ameer,Abdullah,RB,10.9
Theo,Riddick,RB,10.88
Justin,Tucker,K,10.81
Davante,Adams,WR,10.73
Vontaze,Burfict,LB,10.73
